depth,width,DX_dim,hosp_dim,auc
5,128,50,5,0.584
1,256,50,5,0.540
20,128,10,3,0.571
20,1024,5,3,0.500
5,1024,50,3,0.576
10,256,5,5,0.587
5,1024,10,10,0.540
20,128,5,5,0.592
5,128,20,10,0.564
20,256,50,5,0.562
20,512,50,1,0.581
20,128,20,1,0.574
3,256,5,10,0.550
1,1024,5,5,0.561
1,1024,50,1,0.575
3,64,50,10,0.551
20,1024,50,10,0.500
10,512,5,10,0.590
1,128,20,1,0.581
5,512,5,1,0.575
20,128,20,10,0.589
10,1024,20,1,0.500
10,128,50,3,0.592
20,128,50,3,0.544
3,64,50,5,0.572
20,256,50,3,0.586
20,128,5,3,0.575
50,128,5,10,0.580
20,512,20,5,0.566
1,64,10,3,0.584
3,128,5,1,0.604
1,256,5,1,0.561
20,1024,20,10,0.500
1,64,5,5,0.591
5,64,50,1,0.562
3,64,10,5,0.598
50,512,10,10,0.500
20,128,50,5,0.587
10,512,10,5,0.583
3,1024,5,5,0.594
10,1024,50,5,0.500
10,1024,10,3,0.500
3,1024,50,1,0.0002,0.5,640.572
10,1024,50,3,0.0002,0.6,2560.537
